Date,BTCX21.CME,BTCZ21.CME,BTCF22.CME,BTCG22.CME,BTCH22.CME,BTCJ22.CME,BTCZ22.CME,BTC-USD
2021-09-28,41715.0,41895.0,42000.0,42320.0,42540.0,,44640.0,41034.54296875
2021-09-29,41215.0,41425.0,41605.0,41810.0,42030.0,,44130.0,41564.36328125
2021-09-30,43760.0,43950.0,44065.0,44295.0,44425.0,,46525.0,43790.89453125
2021-10-01,48500.0,48645.0,48845.0,48930.0,49115.0,,51215.0,48116.94140625
2021-10-04,50020.0,50190.0,50400.0,50555.0,50680.0,,52780.0,49112.90234375
2021-10-05,51780.0,52055.0,52120.0,52300.0,52670.0,,54770.0,51514.8125
2021-10-06,56000.0,56225.0,56410.0,56595.0,56810.0,,58910.0,55361.44921875
2021-10-07,54870.0,55115.0,55330.0,55570.0,55785.0,,57885.0,53805.984375
2021-10-08,55590.0,55775.0,55985.0,56180.0,56435.0,,58535.0,53967.84765625
2021-10-11,58505.0,58755.0,58885.0,59255.0,59490.0,,61590.0,57484.7890625
2021-10-12,56330.0,56635.0,56860.0,57085.0,57320.0,,59420.0,56041.05859375
2021-10-13,58235.0,58505.0,58820.0,59065.0,59235.0,,61335.0,57401.09765625
2021-10-14,58675.0,58990.0,59230.0,59425.0,59605.0,,61705.0,57321.5234375
2021-10-15,62575.0,63000.0,63235.0,63700.0,63845.0,,65945.0,61593.94921875
2021-10-18,62010.0,62390.0,62720.0,63045.0,63355.0,,65455.0,62026.078125
2021-10-19,65255.0,65730.0,66100.0,66470.0,66870.0,,68970.0,64261.9921875
2021-10-20,67905.0,68635.0,69075.0,69685.0,70065.0,,72455.0,65992.8359375
2021-10-21,63840.0,64655.0,65295.0,65860.0,66250.0,,70625.0,62210.171875
2021-10-22,61680.0,62310.0,62840.0,63520.0,63875.0,,68250.0,60692.265625
2021-10-25,63375.0,64050.0,64605.0,65155.0,65710.0,,70085.0,63039.82421875
2021-10-26,62580.0,63185.0,63785.0,64325.0,64865.0,,69240.0,60363.79296875
2021-10-27,59415.0,59775.0,60195.0,60475.0,60845.0,,65220.0,58482.38671875
2021-10-28,61780.0,62230.0,62425.0,62735.0,63020.0,,67395.0,60622.13671875
2021-10-29,63010.0,63395.0,63685.0,64130.0,64505.0,,68880.0,62227.96484375
2021-11-01,61615.0,62095.0,62370.0,62660.0,63170.0,63300.0,67545.0,61004.40625
2021-11-02,64015.0,64600.0,64930.0,65285.0,65655.0,65905.0,70150.0,63226.40234375
2021-11-03,63065.0,63600.0,64050.0,64225.0,64595.0,64845.0,69090.0,62970.046875
